hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,stays_in_weekend_nights,stays_in_week_nights,customer_type,country,adr,total_nights,revenue,deposit_type,distribution_channel,market_segment
Resort Hotel,0,106,2016,8,1,4,Transient,USA,115.74,5,578.71,No Deposit,TA/TO,Groups
City Hotel,0,25,2016,12,0,1,Transient,GBR,148.52,1,148.52,No Deposit,Direct,Online TA
City Hotel,0,361,2016,4,3,0,Transient,GBR,122.11,3,366.32,No Deposit,TA/TO,Online TA
Resort Hotel,0,120,2016,10,2,2,Transient,GBR,95.08,4,380.31,Non Refund,TA/TO,Online TA
Resort Hotel,0,0,2015,6,1,3,Transient,BRA,106.77,4,427.08,No Deposit,TA/TO,Online TA
City Hotel,1,66,2017,4,2,4,Transient,GBR,133.05,6,0.0,No Deposit,TA/TO,Online TA
Resort Hotel,0,125,2015,5,2,0,Transient-Party,DEU,151.37,2,302.74,No Deposit,TA/TO,Online TA
City Hotel,0,65,2016,9,0,1,Transient,PRT,114.24,1,114.24,Non Refund,TA/TO,Online TA
City Hotel,0,9,2017,8,1,2,Transient,PRT,67.8,3,203.4,No Deposit,TA/TO,Online TA
City Hotel,1,116,2015,6,1,0,Transient-Party,PRT,127.63,1,0.0,Non Refund,TA/TO,Offline TA/TO
City Hotel,0,25,2017,7,0,0,Contract,USA,128.25,1,128.25,No Deposit,Corporate,Online TA
City Hotel,0,133,2017,5,2,3,Transient,SWE,164.43,5,822.15,No Deposit,TA/TO,Online TA
City Hotel,0,14,2017,5,1,1,Transient,BRA,110.25,2,220.5,No Deposit,TA/TO,Aviation
City Hotel,1,12,2015,3,1,1,Transient,BEL,115.54,2,0.0,No Deposit,TA/TO,Groups
City Hotel,0,6,2016,8,2,1,Transient,FRA,86.11,3,258.33,No Deposit,GDS,Complementary
City Hotel,0,260,2017,3,2,5,Transient,ESP,120.1,7,840.69,No Deposit,Corporate,Online TA
Resort Hotel,0,53,2015,6,0,1,Transient,POL,107.15,1,107.15,No Deposit,TA/TO,Offline TA/TO
City Hotel,0,292,2016,6,0,0,Transient,GBR,120.01,1,120.01,Non Refund,TA/TO,Offline TA/TO
City Hotel,0,574,2017,9,0,2,Contract,USA,108.41,2,216.82,No Deposit,TA/TO,Corporate
Resort Hotel,0,17,2015,7,0,2,Transient,GBR,99.39,2,198.79,No Deposit,Corporate,Online TA
City Hotel,0,1,2015,10,1,5,Transient-Party,GBR,83.73,6,502.37,No Deposit,TA/TO,Offline TA/TO
City Hotel,0,21,2015,10,0,3,Transient,RUS,50.33,3,151.0,No Deposit,TA/TO,Groups
City Hotel,0,43,2017,10,2,1,Transient,BEL,78.89,3,236.68,No Deposit,TA/TO,Offline TA/TO
City Hotel,1,299,2016,3,2,1,Contract,BEL,91.74,3,0.0,No Deposit,TA/TO,Offline TA/TO
Resort Hotel,0,30,2017,3,0,0,Contract,PRT,98.36,1,98.36,No Deposit,TA/TO,Offline TA/TO
Resort Hotel,0,187,2015,5,0,4,Contract,GBR,49.02,4,196.1,No Deposit,TA/TO,Offline TA/TO
City Hotel,0,77,2017,9,2,0,Transient,PRT,59.2,2,118.41,No Deposit,TA/TO,Complementary
Resort Hotel,0,121,2015,8,1,0,Transient,GBR,176.84,1,176.84,No Deposit,TA/TO,Online TA
Resort Hotel,0,8,2017,2,0,1,Transient-Party,ITA,56.17,1,56.17,No Deposit,TA/TO,Direct
City Hotel,1,112,2016,4,1,0,Transient,BRA,142.89,1,0.0,No Deposit,Corporate,Corporate
Resort Hotel,0,107,2017,3,0,1,Transient,PRT,163.67,1,163.67,Non Refund,Corporate,Corporate
City Hotel,0,255,2016,7,1,2,Transient,IRL,92.86,3,278.57,No Deposit,Direct,Online TA
Resort Hotel,1,149,2016,4,0,0,Transient,CHE,69.98,1,0.0,No Deposit,TA/TO,Online TA
Resort Hotel,0,10,2016,5,0,0,Transient-Party,POL,132.53,1,132.53,No Deposit,TA/TO,Offline TA/TO
City Hotel,0,18,2017,10,0,1,Transient,AUS,90.52,1,90.52,No Deposit,TA/TO,Complementary
City Hotel,0,131,2016,5,1,0,Group,PRT,109.92,1,109.92,No Deposit,TA/TO,Online TA
City Hotel,0,2,2016,1,1,2,Transient,BEL,148.54,3,445.61,No Deposit,TA/TO,Groups
City Hotel,0,26,2017,3,1,2,Transient,FRA,44.28,3,132.83,No Deposit,TA/TO,Online TA
Resort Hotel,0,14,2016,11,2,3,Transient,CHE,94.35,5,471.74,No Deposit,TA/TO,Corporate
Resort Hotel,0,45,2015,8,0,0,Contract,CHE,105.55,1,105.55,No Deposit,TA/TO,Offline TA/TO
City Hotel,1,131,2016,10,1,0,Transient,PRT,157.94,1,0.0,No Deposit,TA/TO,Online TA
City Hotel,0,509,2017,11,1,3,Transient,NLD,149.14,4,596.56,No Deposit,TA/TO,Online TA
City Hotel,0,123,2016,6,0,0,Transient-Party,ESP,141.55,1,141.55,No Deposit,TA/TO,Complementary
City Hotel,1,253,2015,11,3,2,Transient,PRT,48.92,5,0.0,No Deposit,TA/TO,Direct
City Hotel,1,671,2015,5,1,2,Transient,FRA,116.8,3,0.0,Non Refund,TA/TO,Online TA
City Hotel,0,9,2016,12,0,1,Transient,PRT,120.38,1,120.38,No Deposit,TA/TO,Online TA
Resort Hotel,0,68,2016,9,1,0,Transient,ESP,85.42,1,85.42,No Deposit,TA/TO,Direct
City Hotel,0,176,2017,2,1,0,Transient,BEL,91.03,1,91.03,No Deposit,TA/TO,Offline TA/TO
City Hotel,0,47,2016,8,1,0,Transient,PRT,139.22,1,139.22,No Deposit,TA/TO,Online TA
Resort Hotel,1,6,2015,7,0,2,Transient,AUS,95.52,2,0.0,No Deposit,TA/TO,Online TA
City Hotel,0,1,2015,10,0,0,Transient,ESP,14.21,1,14.21,No Deposit,TA/TO,Online TA
Resort Hotel,0,154,2017,8,1,0,Transient,ESP,164.92,1,164.92,No Deposit,TA/TO,Aviation
Resort Hotel,0,147,2015,12,0,0,Transient,PRT,67.48,1,67.48,No Deposit,Corporate,Online TA
City Hotel,0,4,2017,8,0,3,Transient-Party,BRA,126.51,3,379.53,No Deposit,Corporate,Corporate
City Hotel,0,82,2017,9,0,2,Transient,ESP,93.5,2,187.01,No Deposit,TA/TO,Online TA
City Hotel,1,682,2016,5,2,2,Transient-Party,AUT,86.1,4,0.0,Non Refund,Direct,Online TA
City Hotel,0,171,2016,7,1,0,Contract,ESP,149.61,1,149.61,No Deposit,TA/TO,Direct
City Hotel,0,7,2017,8,0,0,Transient,AUT,125.97,1,125.97,No Deposit,Direct,Complementary
City Hotel,0,1,2017,3,1,0,Transient,IRL,148.34,1,148.34,No Deposit,Direct,Offline TA/TO
City Hotel,0,61,2016,7,1,1,Transient,ESP,59.34,2,118.68,No Deposit,TA/TO,Online TA
City Hotel,0,92,2015,10,0,0,Transient,AUT,115.52,1,115.52,No Deposit,TA/TO,Corporate
City Hotel,1,121,2015,5,1,1,Transient,PRT,110.69,2,0.0,No Deposit,TA/TO,Online TA
Resort Hotel,1,21,2016,12,0,0,Transient,DEU,86.13,1,0.0,No Deposit,TA/TO,Offline TA/TO
City Hotel,1,2,2015,12,0,2,Transient,PRT,54.21,2,0.0,No Deposit,TA/TO,Offline TA/TO
City Hotel,1,242,2017,7,0,1,Transient,PRT,126.98,1,0.0,No Deposit,Direct,Complementary
City Hotel,0,80,2017,10,1,5,Transient,BRA,77.58,6,465.47,No Deposit,TA/TO,Online TA
Resort Hotel,1,55,2016,5,0,3,Transient,BEL,89.0,3,0.0,No Deposit,TA/TO,Online TA
City Hotel,0,176,2017,5,0,0,Transient,FRA,63.26,1,63.26,No Deposit,TA/TO,Direct
Resort Hotel,0,164,2015,1,3,0,Transient,GBR,125.71,3,377.12,No Deposit,TA/TO,Corporate
Resort Hotel,0,0,2016,5,0,0,Transient-Party,GBR,67.27,1,67.27,No Deposit,TA/TO,Online TA
City Hotel,0,14,2017,3,2,0,Transient-Party,NLD,85.2,2,170.41,Non Refund,GDS,Offline TA/TO
Resort Hotel,0,3,2016,4,1,0,Transient,PRT,97.85,1,97.85,No Deposit,TA/TO,Online TA
City Hotel,0,21,2016,7,2,2,Contract,PRT,117.84,4,471.34,No Deposit,TA/TO,Offline TA/TO
City Hotel,0,79,2017,1,1,2,Transient,BEL,84.22,3,252.65,No Deposit,Direct,Offline TA/TO
City Hotel,0,2,2016,8,2,0,Transient,NLD,94.47,2,188.94,No Deposit,TA/TO,Direct
City Hotel,0,20,2016,4,0,2,Transient,PRT,112.43,2,224.86,No Deposit,TA/TO,Online TA
City Hotel,0,13,2017,11,0,0,Transient,PRT,120.39,1,120.39,No Deposit,TA/TO,Online TA
Resort Hotel,1,220,2016,8,0,0,Transient,PRT,80.33,1,0.0,No Deposit,TA/TO,Corporate
City Hotel,1,50,2015,4,0,0,Transient,GBR,129.03,1,0.0,No Deposit,TA/TO,Online TA
City Hotel,1,75,2015,11,2,0,Transient,PRT,121.24,2,0.0,No Deposit,TA/TO,Online TA
City Hotel,0,5,2015,11,1,3,Transient,USA,133.95,4,535.81,No Deposit,TA/TO,Offline TA/TO
City Hotel,1,84,2016,8,0,3,Transient-Party,GBR,55.4,3,0.0,No Deposit,TA/TO,Offline TA/TO
Resort Hotel,0,5,2016,6,0,2,Transient,DEU,106.66,2,213.32,No Deposit,TA/TO,Online TA
City Hotel,0,76,2016,1,0,2,Contract,SWE,72.44,2,144.89,No Deposit,TA/TO,Online TA
City Hotel,0,137,2016,10,0,0,Transient,DEU,107.97,1,107.97,No Deposit,TA/TO,Direct
City Hotel,0,3,2015,6,3,0,Transient,ROU,110.43,3,331.3,No Deposit,Direct,Direct
City Hotel,0,4,2016,8,1,1,Transient,USA,135.35,2,270.7,No Deposit,TA/TO,Online TA
City Hotel,0,73,2016,4,2,1,Transient,DEU,110.54,3,331.61,No Deposit,TA/TO,Online TA
Resort Hotel,0,167,2015,4,1,2,Contract,PRT,137.08,3,411.25,No Deposit,TA/TO,Offline TA/TO
City Hotel,0,1,2017,8,1,0,Transient,PRT,123.19,1,123.19,No Deposit,Direct,Offline TA/TO
Resort Hotel,0,27,2016,8,1,2,Contract,GBR,56.54,3,169.61,No Deposit,TA/TO,Online TA
City Hotel,1,386,2015,10,0,1,Transient,FRA,99.66,1,0.0,Non Refund,TA/TO,Direct
City Hotel,0,0,2015,5,1,0,Transient,PRT,135.82,1,135.82,No Deposit,Direct,Online TA
City Hotel,1,169,2016,9,1,1,Transient,GBR,87.45,2,0.0,No Deposit,TA/TO,Offline TA/TO
Resort Hotel,1,15,2017,10,1,1,Transient,SWE,79.69,2,0.0,No Deposit,TA/TO,Offline TA/TO
Resort Hotel,0,60,2016,7,1,3,Transient-Party,PRT,148.14,4,592.55,No Deposit,TA/TO,Online TA
City Hotel,0,21,2015,3,1,1,Transient,PRT,112.64,2,225.27,No Deposit,TA/TO,Online TA
City Hotel,1,108,2017,3,2,0,Contract,USA,92.44,2,0.0,No Deposit,Direct,Offline TA/TO
Resort Hotel,0,52,2017,7,1,2,Transient,USA,122.86,3,368.58,Non Refund,TA/TO,Groups
City Hotel,0,172,2016,10,2,1,Transient,IRL,88.06,3,264.18,No Deposit,TA/TO,Aviation
City Hotel,1,322,2017,6,2,0,Contract,DEU,84.51,2,0.0,No Deposit,TA/TO,Online TA
City Hotel,0,0,2015,10,0,0,Transient,IRL,56.65,1,56.65,No Deposit,TA/TO,Online TA
City Hotel,0,283,2015,11,3,0,Transient-Party,BRA,120.99,3,362.97,No Deposit,TA/TO,Complementary
Resort Hotel,0,23,2016,8,0,3,Transient,PRT,81.24,3,243.73,No Deposit,Corporate,Online TA
Resort Hotel,0,141,2017,9,0,2,Transient,PRT,42.61,2,85.21,Non Refund,Direct,Corporate
City Hotel,0,277,2017,2,0,0,Transient,BEL,60.79,1,60.79,No Deposit,TA/TO,Corporate
City Hotel,0,0,2016,7,0,3,Transient,ESP,69.86,3,209.57,No Deposit,TA/TO,Direct
City Hotel,1,68,2016,11,0,0,Contract,BEL,148.69,1,0.0,No Deposit,TA/TO,Online TA
Resort Hotel,0,85,2015,8,0,1,Transient,IRL,88.45,1,88.45,No Deposit,Corporate,Online TA
Resort Hotel,0,586,2016,4,0,1,Transient-Party,FRA,60.77,1,60.77,No Deposit,TA/TO,Online TA
Resort Hotel,0,165,2016,12,2,0,Transient,BRA,27.05,2,54.1,No Deposit,Corporate,Online TA
Resort Hotel,1,21,2017,10,1,2,Transient,DEU,110.25,3,0.0,No Deposit,TA/TO,Offline TA/TO
City Hotel,1,69,2016,9,0,0,Transient,PRT,123.45,1,0.0,Non Refund,TA/TO,Offline TA/TO
City Hotel,0,100,2016,8,0,4,Contract,SWE,142.95,4,571.79,No Deposit,TA/TO,Direct
City Hotel,0,51,2016,8,1,4,Transient,RUS,77.32,5,386.58,No Deposit,TA/TO,Corporate
Resort Hotel,0,17,2017,9,2,2,Transient,DEU,106.48,4,425.92,No Deposit,TA/TO,Corporate
City Hotel,1,11,2016,3,1,1,Transient,ESP,46.07,2,0.0,No Deposit,GDS,Groups
City Hotel,1,152,2016,8,0,1,Transient,PRT,70.78,1,0.0,No Deposit,GDS,Offline TA/TO
City Hotel,0,113,2017,7,0,2,Transient-Party,USA,103.63,2,207.27,No Deposit,TA/TO,Corporate
Resort Hotel,1,300,2016,4,0,0,Transient,ITA,127.43,1,0.0,No Deposit,TA/TO,Offline TA/TO
City Hotel,0,83,2016,8,0,1,Contract,CHE,53.06,1,53.06,No Deposit,TA/TO,Online TA
City Hotel,0,12,2015,12,0,0,Transient,GBR,116.5,1,116.5,No Deposit,TA/TO,Online TA
City Hotel,0,54,2016,5,1,0,Transient,DEU,76.97,1,76.97,No Deposit,TA/TO,Offline TA/TO
Resort Hotel,1,35,2016,3,1,0,Transient-Party,PRT,90.12,1,0.0,Non Refund,TA/TO,Online TA
City Hotel,1,3,2015,8,2,0,Transient,FRA,53.36,2,0.0,Non Refund,TA/TO,Corporate
City Hotel,0,4,2016,7,2,0,Transient,POL,93.28,2,186.56,No Deposit,TA/TO,Direct
Resort Hotel,1,119,2015,8,1,3,Transient,FRA,110.92,4,0.0,No Deposit,TA/TO,Offline TA/TO
City Hotel,0,26,2015,5,1,0,Transient,POL,67.88,1,67.88,No Deposit,Direct,Offline TA/TO
City Hotel,0,22,2016,8,2,2,Transient,AUT,129.66,4,518.62,No Deposit,TA/TO,Offline TA/TO
Resort Hotel,1,260,2015,4,1,0,Contract,ESP,96.84,1,0.0,No Deposit,TA/TO,Direct
City Hotel,1,401,2017,8,0,0,Transient,PRT,143.26,1,0.0,No Deposit,TA/TO,Offline TA/TO
Resort Hotel,1,303,2016,5,1,2,Transient,NLD,71.36,3,0.0,No Deposit,TA/TO,Offline TA/TO
City Hotel,1,350,2016,4,0,0,Transient,PRT,129.89,1,0.0,No Deposit,TA/TO,Online TA
City Hotel,1,101,2017,6,0,2,Transient-Party,PRT,68.57,2,0.0,Non Refund,TA/TO,Online TA
City Hotel,0,7,2017,2,1,2,Contract,GBR,127.36,3,382.08,No Deposit,TA/TO,Groups
City Hotel,0,1,2015,9,1,2,Transient,ITA,107.1,3,321.29,No Deposit,Direct,Direct
City Hotel,0,252,2016,8,2,2,Transient-Party,DEU,69.91,4,279.66,No Deposit,Corporate,Offline TA/TO
City Hotel,0,1,2016,3,2,0,Transient,SWE,115.95,2,231.9,No Deposit,TA/TO,Online TA
Resort Hotel,0,262,2016,6,2,0,Contract,PRT,55.58,2,111.16,No Deposit,Direct,Online TA
City Hotel,1,6,2015,9,0,2,Transient-Party,AUS,114.79,2,0.0,No Deposit,TA/TO,Offline TA/TO
Resort Hotel,0,127,2016,6,1,2,Contract,PRT,87.59,3,262.76,No Deposit,TA/TO,Offline TA/TO
City Hotel,0,22,2015,6,1,1,Transient,DEU,196.81,2,393.63,Non Refund,Direct,Direct
Resort Hotel,0,10,2016,7,1,3,Contract,DEU,161.82,4,647.29,No Deposit,TA/TO,Offline TA/TO
City Hotel,0,0,2016,11,3,1,Transient,PRT,45.7,4,182.78,No Deposit,TA/TO,Complementary
City Hotel,0,1,2016,11,0,0,Transient,PRT,101.2,1,101.2,No Deposit,TA/TO,Aviation
City Hotel,1,32,2015,2,1,1,Transient,DEU,59.36,2,0.0,No Deposit,TA/TO,Direct
City Hotel,0,10,2015,7,0,1,Transient,PRT,102.66,1,102.66,No Deposit,TA/TO,Complementary
Resort Hotel,0,51,2016,1,0,0,Transient,GBR,105.0,1,105.0,No Deposit,Direct,Offline TA/TO
City Hotel,1,80,2016,9,1,0,Transient,POL,100.96,1,0.0,No Deposit,TA/TO,Offline TA/TO
City Hotel,0,37,2015,4,0,0,Transient,ESP,85.11,1,85.11,Non Refund,TA/TO,Corporate
City Hotel,1,488,2017,10,1,1,Transient,PRT,150.01,2,0.0,No Deposit,TA/TO,Corporate
City Hotel,0,11,2015,11,1,3,Transient,FRA,161.34,4,645.37,No Deposit,TA/TO,Online TA
Resort Hotel,0,44,2017,8,2,2,Transient,PRT,70.08,4,280.3,No Deposit,TA/TO,Direct
Resort Hotel,1,430,2017,9,0,1,Transient,PRT,79.87,1,0.0,No Deposit,TA/TO,Corporate
Resort Hotel,0,17,2015,7,0,2,Transient-Party,PRT,101.45,2,202.89,No Deposit,TA/TO,Online TA
City Hotel,1,73,2016,8,2,2,Contract,DEU,127.86,4,0.0,No Deposit,TA/TO,Online TA
City Hotel,0,27,2016,9,2,3,Transient,AUS,102.48,5,512.4,No Deposit,TA/TO,Offline TA/TO
Resort Hotel,1,95,2016,11,1,1,Transient,GBR,53.95,2,0.0,No Deposit,TA/TO,Groups
City Hotel,0,6,2017,9,2,2,Transient,PRT,143.94,4,575.77,No Deposit,TA/TO,Corporate
Resort Hotel,0,50,2015,11,0,0,Transient,ITA,77.05,1,77.05,No Deposit,TA/TO,Online TA
Resort Hotel,0,122,2016,3,1,0,Group,PRT,62.47,1,62.47,No Deposit,TA/TO,Online TA
